Main_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4
Nuggets,nuggets.life,nuggets,,
Nuka Token,Nuka,,,
Obsidian,obsidianplatform.com,obsidian,,
Octanox,octanox.org,octanox,,
ODEM,odem.io,odem,,
Odyssey,ocoins.es,odyssey,,
OID - Opioid Token,OID,Opioid Token,,
Olympus Labs,olympuslabs.io,olympus-labs,,
OmiseGo,omise.co,omisego,,
Omnitude,omnitude.tech,omnitude,,
On.Live,on.live,on-live,,
OneLedger,oneledger.io,oneledger,,
OneRoot,oneroot.io,oneroot-network,,
Ontology Network,ont.io,ontology,,
Open Packaging Network,Open Packaging,,,
Open Platform,openfuture.io,open-platform,,
Open Trading Network,otn.org,open-trading-network,,
OpenANX,oax.org,oax,,
OpenFinance Network,OpenFinance,,,
OptiToken,optitoken.io,optitoken,,
OPUS,opus.audio,opus,,
Orbis,orbismesh.com,orbis-token,,
Origami Network,ori.network,origami,,
OriginTrail,origintrail.io,origintrail,,
ORS Group,orsgroup.io,ors-group,,
Osmium Investment Coin,Oicoin,,,
Owndata,owndata.network,owndata,,
Oxycoin,oxycoin.io,oxycoin,,
Oyster,oysterprotocol.com,oyster,,
Paragon,paragoncoin.com,paragon,,
Pareto,Pareto Network,pareto.network,pareto-network,
PARKGENE,parkgene.io,parkgene,,
PARQ,Parksen,,,
Particl,particl.io,particl,,
Patientory,patientory.com,patientory,,
Patron,patron-ico.io,patron,,
PayFair,payfair.io,payfair,,
Paymon,paymon.org,paymon,,
PayPie,paypie.com,paypie,,
PChain,pchain.org,pchain,,
Peculium,peculium.io,peculium,,
Pecunio,pecun.io,pecunio,,
Peerguess,peerguess.com,guess,,
PeerPlays,peerplays.com,peerplays-ppy,,
PerfectChain Network,PerfectChain,,,
Phantasma,phantasma.io,phantasma,,
PHI Token,phitoken.io,phi-token,,
PikcioChain,pikciochain.com,pikciochain,,
Pillar,pillarproject.io,pillar,,
Plancoin,plancoin.co,plancoin,,
Platio Solar,Platio,,,
Playkey,playkey.io,playkey,,
PlexCoin,plexcoin.tech,plexcoin,,
Plutus,plutus.it,pluton,,
Po.et,po.et,poet,,
POA Network (Oracles),POA Network,poa.network,poa-network,
PolicyPal Network,policypal.network,policypal-network,,
Polybius,polybius.io,polybius,,
Polymath,polymath.network,polymath-network,,
PolySwarm,polyswarm.io,polyswarm,,
Ponics Technologies,Ponics,,,
Pontem Inc.,Pontem,,,
Populous,populous.co,populous,,
Power Ledger,powerledger.io,power-ledger,,
PRASM,prasm.io,prasm,,
Presearch,presearch.io,presearch,,
Primalbase,primalbase.com,primalbase,,
Privatix,privatix.io,privatix,,
ProfitGid,profitgid.ru,,,
ProjecEreum Tokens,ProjecEreum,,,
Project SHIVOM,shivom.io,shivom,,
Propy,propy.com,propy,,
ProximaX,proximax.io,proximax,,
Publica,publica.com,publica,,
PumaPay,pumapay.io,pumapay,,
Pundi X,pundix.com,pundi-x,PundiX,
Pylon Network,pylon-network.org,pylon-network,,
QASH,QASH by Quoine,liquid.com,qash,
Qlink,qlcchain.org,qlink,,
QLinq,QLC Chain,,,
QTUM,qtum.org,qtum,,
Quant Network,quant.network,quant,,
Quantstamp,quantstamp.com,quantstamp,,
QUANTUM,quantumproject.org,quantum,,
QuarkChain,quarkchain.io,quarkchain,,
Qurito,qurito.io,qurito,,
Qvolta,qvolta.com,qvolta,,
Raiden Network,Raiden Network Token,raiden.network,raiden-network-token,
Rate3 Network,rate3.network,rate3,,
Ravn's Korrax,Ravn,,,
Rchain,rchain.coop,rchain,,
Real,real.markets,real,,
Reales Coin,Reales,,,
RECORD Foundation,recordfoundation.org,record,,
Red Pulse,redpulse.com,red-pulse,,
Refereum,token.refereum.com,refereum,,
Reftoken,reftoken.io,reftoken,,
REGA,REGA Risk Sharing,,,
RegalCoin,regalcoin.co,regalcoin,,
REMME,tokensale.remme.io,remme,,
